SITE,pH,N,C,CN,pHnorm,Nnorm,Cnorm,Cnnorm
ms,5.924615385,0.23402,3.5608,15.21579352,0.929716027,0.074443313,0.055573243,0.550539744
ms,5.29375,0.42776,7.1863,16.79984103,0.830717929,0.136073292,0.112156257,0.607853949
ms,4.63,0.28365,4.0356,14.22739291,0.726559435,0.090230945,0.062983425,0.51477731
ms,4.59,0.3292,4.6522,14.13183475,0.720282464,0.104720702,0.072606674,0.511319812
ms,4.8,0.36676,6.1825,16.85707275,0.753236563,0.116668787,0.096489996,0.609924714
ms,5.6,0.26937,4.3279,16.06674834,0.878775991,0.085688383,0.067545338,0.581329098
ms,4.36,0.78432,13.162,16.78141575,0.684189878,0.249497392,0.205418735,0.607187283
ms,5.2,0.80665,14.636,18.14417653,0.816006277,0.256600713,0.228423385,0.656494865
ms,5.9,0.3577,5.796,16.2035225,0.925853276,0.113786741,0.090457908,0.586277878
ms,4.913333333,0.72604,11.215,15.44680734,0.771021316,0.230958137,0.175031994,0.558898315
BDs,5.1887,1.711,25.498,14.90239626,0.814233033,0.544280443,0.397946125,0.539200365
BDs,3.7775,1.1897,20.607,17.32117341,0.592781483,0.378451457,0.321612511,0.626716862
BDs,3.96,1.945,35.28,18.13881748,0.621420165,0.618717394,0.550613353,0.656300963
BDs,4.062033333,1.728,32.323,18.70543981,0.637431673,0.549688256,0.504463589,0.676802563
BDs,3.842033333,2.0629,37.84,18.34310922,0.60290833,0.656222166,0.590567157,0.663692672
BDs,4.72,1.3982,19.638,14.04520097,0.740682621,0.444776689,0.306489372,0.508185218
BDs,3.6837,1.3467,23.826,17.69213633,0.578061985,0.428394198,0.371851297,0.64013909
BDs,3.5587,2.0615,40.892,19.83604172,0.55844645,0.655776816,0.638199582,0.717710142
BDs,4.2287,1.8703,33.444,17.88162327,0.66358572,0.594954829,0.521958985,0.64699513
BDs,3.812033333,2.0015,38.236,19.10367225,0.598200602,0.636690419,0.596747511,0.691211458
HP,3.9187,1.8064,37.301,20.64935784,0.614939192,0.574627815,0.582155008,0.747137648
HP,3.4587,2.1703,46.336,21.35004377,0.542754021,0.690386818,0.723163842,0.772489954
HP,3.505366667,2.1867,46.474,21.25302968,0.550077154,0.695603766,0.725317602,0.768979778
HP,4.066666667,1.1942,20.604,17.25339139,0.638158755,0.379882937,0.32156569,0.624264365
HP,3.3112,2.2739,46.955,20.64954483,0.519607689,0.723342664,0.732824547,0.747144414
WS,3.628146667,1.5834,28.226,17.82619679,0.569344318,0.503690037,0.440521897,0.644989682
WS,3.716666667,1.5634,27.442,17.5527696,0.583235256,0.497327904,0.428286044,0.635096505
WS,3.725366667,1.7975,32.935,18.32267038,0.584600497,0.571796666,0.514015045,0.662953151
WS,3.4537,1.9327,34.725,17.96709267,0.5419694,0.614804683,0.541951494,0.650087594
WS,3.462033333,2.289,47.499,20.75098296,0.543277102,0.728146075,0.74131473,0.750814661
WW,3.790733333,2.3582,47.341,20.07505725,0.594858114,0.750159053,0.738848831,0.726358232
WW,3.4274,2.3418,46.109,19.68955504,0.537842291,0.744942105,0.719621063,0.712409943
WW,3.484066667,2.5048,46.111,18.40905462,0.546734667,0.796793485,0.719652277,0.666078716
WW,3.460733333,2.1897,48.733,22.25556012,0.543073101,0.696558086,0.760573712,0.80525346
WW,3.685366667,2.5375,43.87,17.28866995,0.578323526,0.807195572,0.684677092,0.625540818
LL,4.555714286,0.47515,6.667,14.03135852,0.714902203,0.151148365,0.104051565,0.507684369
LL,6.3725,0.50639,6.5446,12.92403089,1,0.161086016,0.102141274,0.467618902
LL,6.31,0.45639,5.037,11.03661342,1,0.145180685,0.07861223,0.399328127
LL,5.05,0.75672,9.2858,12.27111745,0.806279936,0.240717649,0.144923058,0.443995106
LL,6.263333333,0.05721,-0.02595,-0.453592029,1,0.01819888,-0.000405,-0.016411924
SP,3.98,1.1883,18.6,15.65261298,0.6453182,0.378006108,0.290289353,0.5663448
SP,4.293333333,0.36788,5.0805,13.81020985,0.696122146,0.117025067,0.079291132,0.49968274
SP,3.93,0.43395,6.6561,15.33840304,0.637211188,0.138042372,0.10388145,0.554976017
SP,4.266666667,0.39592,5.9213,14.95579915,0.691798406,0.125944777,0.092413459,0.541132595
SP,4.903333333,0.42403,6.0536,14.27634837,0.795027699,0.134886754,0.09447826,0.516548622
YW,3.1774,2.0319,47.192,23.22555244,0.515184435,0.64636086,0.736523395,0.840349843
YW,3.1487,1.5692,32.967,21.00879429,0.510531009,0.499172923,0.514514468,0.760142823
YW,3.194066667,1.9435,47.58,24.48160535,0.517886772,0.618240234,0.742578893,0.885796507
